N_TOKENS,einsum,arch,energy,latency,ops_per_tensor_element,ops_per_cycle,allocation
8192,FFA,TPU,0.0069165293384465185,0.0020977919921278954,0.9996949173225944,31.990237474368524,
8192,FFB,TPU,0.0069166728618192605,0.0020977919921278954,0.9996949173225944,31.990237474368524,
8192,I,Hybrid,5.554348247885452e-15,1.5999999547489097e-08,0.5,256.0,AiM
8192,V_new,Hybrid,0.0007729963518744726,3.4823999158106744e-05,0.9995119570522206,481.7716369628906,AiM
8192,K_new,Hybrid,0.0007729963518744726,3.4823999158106744e-05,0.9995119570522206,481.7716369628906,AiM
8192,Q_new,Hybrid,0.0007729963518744726,3.4823999158106744e-05,0.9995119570522206,481.7716369628906,AiM
8192,QK,Hybrid,0.0015548952451746496,7.014400034677237e-05,0.9921278914860119,478.3649597167969,AiM
8192,QK_softmax,Hybrid,2.0560478563478284e-05,1.0239999710393022e-06,0.5,256.0,AiM
8192,AV,Hybrid,0.0015458491143640056,6.96400020387955e-05,0.9921278914860119,481.8269958496094,AiM
8192,Z,Hybrid,0.0007729963518744726,3.4823999158106744e-05,0.9995119570522206,481.7716369628906,AiM
8192,FFA,Hybrid,0.003091985407426836,0.00013929599663242698,0.9996949173225944,481.7716369628906,AiM
8192,FFB,Hybrid,0.00309155463936439,0.0001392720005242154,0.9996949173225944,481.85467529296875,AiM
